[subject]	object	i
od:Beperking_van_het_nadeel_door_perspubilcatie	Inbreukhandeling and Nalaten and Werkhandeling and Zorgplicht	[Inbreukhandeling, Nalaten, Werkhandeling, Zorgplicht]
od:Eigenschappen_van_het_product	Nalaten and Werkhandeling	[Nalaten, Werkhandeling]
od:Aansprakelijkheid_voor_boorgaten	(heeft_handeling some Gevaarshandeling) or (heeft_handeling some Werkhandeling)	
Inbreukhandeling	od:Aard_en_de_werkwijze_van_de_media	
od:Plaats_van_de_daad	Doen and Nalaten	[Doen, Nalaten]
od:Misleidende_en_vergelijkende_reclame	(heeft_handeling some Algemene_handeling) or (heeft_handeling some Inbreukhandeling) or (heeft_handeling some Nalaten)	
od:Onevenredig_getroffen	Inbreukhandeling and Nalaten and Werkhandeling	[Inbreukhandeling, Nalaten, Werkhandeling]
od:Afwijking_in_de_gronddekking	Nalaten and Werkhandeling	[Nalaten, Werkhandeling]
od:Veiligheidsvoorschriften	Gevaarshandeling and Nalaten	[Gevaarshandeling, Nalaten]
od:Voorzorgsmaatregelen	Doen and Nalaten	[Doen, Nalaten]
od:Aansprakelijkheid_voor_personen	heeft_handeling some Verkeershandeling	
od:Schepen	Algemene_handeling and Beslag_gelegd	[Algemene_handeling, Beslag_gelegd]
Algemene_handeling	od:Eigendomsvoorbehoud	
od:Aard_van_de_fout	Nalaten and Verkeershandeling and Werkhandeling	[Nalaten, Verkeershandeling, Werkhandeling]
od:Bestaan_van_andere_gegevens	Inbreukhandeling and Nalaten and Werkhandeling	[Inbreukhandeling, Nalaten, Werkhandeling]
od:Fabrikant_van_een_onderdeel	Nalaten and Werkhandeling	[Nalaten, Werkhandeling]
od:Hoedanigheid_van_de_gegevensverstrekker	Nalaten and Werkhandeling	[Nalaten, Werkhandeling]
od:Art_6_175_lid_1	Nalaten and Werkhandeling	[Nalaten, Werkhandeling]
Werkhandeling	od:Zeggenschap	
od:Handelen_in_strijd_met_hetgeen_in_het_maatschappelijk_verkeer_betaamt	Doen and Nalaten	[Doen, Nalaten]
od:Product_dat_niet_de_veiligheid_biedt	Nalaten and Werkhandeling	[Nalaten, Werkhandeling]
od:Kwalitatieve_aansprakelijkheid	heeft_handeling some Algemene_handeling	
Werkhandeling	od:Krachtens_volmacht	
od:Bezwaarlijkheid_veiligheidsmaatregelen	Gevaarshandeling and Hinderhandeling and Nalaten	[Gevaarshandeling, Hinderhandeling, Nalaten]
Werkhandeling	od:Hulppersonen	
od:Persoonlijke_aansprakelijkheid	heeft_handeling some Handeling	
od:Aansprakelijkheid_voor_zaken	(heeft_handeling some Gevaarshandeling) or (heeft_handeling some Nalaten)	
Werkhandeling	od:Afwijking_van_de_normaalbladen	
Werkhandeling	od:Kansvergroting	
od:Redelijkerwijs_te_verwachten_gebruik	Nalaten and Werkhandeling	[Nalaten, Werkhandeling]
od:Aansprakelijkheid_voor_gebrekkige_zaken	(heeft_handeling some Gevaarshandeling) or (heeft_handeling some Hinderhandeling) or (heeft_handeling some Werkhandeling)	
od:Kenbaarheid	Doen and Nalaten	[Doen, Nalaten]
Werkhandeling	od:Tijdstip_van_de_fout	
od:Verklaringen_over_en_weer	Nalaten and Wanprestatie and Werkhandeling and Zorgplicht	[Nalaten, Wanprestatie, Werkhandeling, Zorgplicht]
od:Blootstelling_aan_verdachtmaking	Inbreukhandeling and Nalaten and Werkhandeling	[Inbreukhandeling, Nalaten, Werkhandeling]
Werkhandeling	od:Praktische_indicatoren	
od:Aansprakelijkheid_voor_gevaarlijke_stoffen	(heeft_handeling some Gevaarshandeling) or (heeft_handeling some Werkhandeling)	
od:Gebruiksmogelijkheden	Nalaten and Werkhandeling	[Nalaten, Werkhandeling]
od:Toestemming_van_de_benadeelde	Doen and Nalaten	[Doen, Nalaten]
